IOCValue,IOCType,ThreatName,MalwareFamily,ThreatActor,Campaign,SourceOrganization,SourceArticleTitle,SourceURL,ArticlePublishedDate,ArticleUpdatedDate,IOCFirstSeen,IOCLastSeen,DateCollected,Confidence,Severity,FreshnessScore,HuntingValue,OverallScore,RecommendedLookbackDays,RequestedLookbackDays,AvailableLookbackDays,EffectiveLookbackDays,MITRETechnique,Notes,SharedInfrastructure,SourceCount,ChangeStatus,Sources
0xrpc.io,domain,Kimwolf v7: An Evolution of the Kimwolf Botnet,,,,Palo Alto Networks Unit 42,Kimwolf v7: An Evolution of the Kimwolf Botnet,https://unit42.paloaltonetworks.com/kimwolf-v7-botnet-malware/,2026-08-11T10:00:16Z,2026-08-19T12:03:26Z,,,2026-09-20T13:00:00.081404Z,68,6,8,66,54,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Kimwolf v7: An Evolution of the Kimwolf Botnet"", ""url"": ""https://unit42.paloaltonetworks.com/kimwolf-v7-botnet-malware/"", ""published_at"": ""2026-08-11T10:00:16Z"", ""updated_at"": ""2026-08-19T12:03:26Z"", ""reliability"": 0.92}]"
2.xx.xxx.xx,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
5.xxx.xx.xxx,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
95.sbx.tg,domain,The story behind the intelligence,,,,Cisco Talos,"Is Cyber missing the Marque?;The story behind the intelligence;“Sorry, I can’t help with that”: How your guardrails might become the attacker’s best friend",https://blog.talosintelligence.com/is-cyber-missing-the-marque/;https://blog.talosintelligence.com/sorry-i-cant-help-with-that-how-your-guardrails-might-become-the-attackers-best-friend/;https://blog.talosintelligence.com/the-story-behind-the-intelligence/,2026-08-20T18:00:18Z;2026-08-27T18:00:24Z;2026-09-03T18:00:13Z,2026-08-27T18:02:59Z;2026-09-03T18:02:22Z;2026-09-09T19:22:24Z,,,2026-09-20T13:00:00.081404Z,88,7,12,66,84,60,60,30,30,,,False,3,NEW,"[{""organization"": ""Cisco Talos"", ""article_title"": ""The story behind the intelligence"", ""url"": ""https://blog.talosintelligence.com/the-story-behind-the-intelligence/"", ""published_at"": ""2026-09-03T18:00:13Z"", ""updated_at"": ""2026-09-09T19:22:24Z"", ""reliability"": 0.92}, {""organization"": ""Cisco Talos"", ""article_title"": ""“Sorry, I can’t help with that”: How your guardrails might become the attacker’s best friend"", ""url"": ""https://blog.talosintelligence.com/sorry-i-cant-help-with-that-how-your-guardrails-might-become-the-attackers-best-friend/"", ""published_at"": ""2026-08-27T18:00:24Z"", ""updated_at"": ""2026-09-03T18:02:22Z"", ""reliability"": 0.92}, {""organization"": ""Cisco Talos"", ""article_title"": ""Is Cyber missing the Marque?"", ""url"": ""https://blog.talosintelligence.com/is-cyber-missing-the-marque/"", ""published_at"": ""2026-08-20T18:00:18Z"", ""updated_at"": ""2026-08-27T18:02:59Z"", ""reliability"": 0.92}]"
aa.amazingshield.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
aa.js,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
acemlnd.com,domain,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,,,,Microsoft Threat Intelligence,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/,2026-09-03T16:00:00Z,2026-09-03T17:51:06Z,,,2026-09-20T13:00:00.081404Z,71,5,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/"", ""published_at"": ""2026-09-03T16:00:00Z"", ""updated_at"": ""2026-09-03T17:51:06Z"", ""reliability"": 0.96}]"
achievershelf.space,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
activehosted.com,domain,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,,,,Microsoft Threat Intelligence,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/,2026-09-03T16:00:00Z,2026-09-03T17:51:06Z,,,2026-09-20T13:00:00.081404Z,71,5,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/"", ""published_at"": ""2026-09-03T16:00:00Z"", ""updated_at"": ""2026-09-03T17:51:06Z"", ""reliability"": 0.96}]"
activitymeal.space,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
add-passkey.com,domain,Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog,,,,Microsoft Threat Intelligence,Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/09/passkey-themed-social-engineering-leads-identity-cloud-compromise/,2026-09-09T17:41:18Z,2026-09-09T17:59:18Z,,,2026-09-20T13:00:00.081404Z,71,6,12,66,59,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/09/passkey-themed-social-engineering-leads-identity-cloud-compromise/"", ""published_at"": ""2026-09-09T17:41:18Z"", ""updated_at"": ""2026-09-09T17:59:18Z"", ""reliability"": 0.96}]"
additionplot.cfd,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
adex-blog.blogspot.com,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
advancefundingboost.com,domain,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,,,,Microsoft Threat Intelligence,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/,2026-09-03T16:00:00Z,2026-09-03T17:51:06Z,,,2026-09-20T13:00:00.081404Z,71,5,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/"", ""published_at"": ""2026-09-03T16:00:00Z"", ""updated_at"": ""2026-09-03T17:51:06Z"", ""reliability"": 0.96}]"
