ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
b6bc9e1d0b2fb96ab7c47e04cb0be477410bc1f2,sha1,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
caf2c54e400437da717cf215181b170f65187abf,sha1,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
135.181.127.216,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
151.240.151.8,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
151.243.113.21,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
193.41.68.196,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
2.27.5.165,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
31.76.31.28,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
31.77.228.46,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
65.21.18.60,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
