IOCValue,IOCType,ThreatName,MalwareFamily,ThreatActor,Campaign,SourceOrganization,SourceArticleTitle,SourceURL,ArticlePublishedDate,ArticleUpdatedDate,IOCFirstSeen,IOCLastSeen,DateCollected,Confidence,Severity,FreshnessScore,HuntingValue,OverallScore,RecommendedLookbackDays,RequestedLookbackDays,AvailableLookbackDays,EffectiveLookbackDays,MITRETechnique,Notes,ExplicitlyLabeled,TechnicalContext,SharedInfrastructure,SourceCount,IndependentSourceCount,ChangeStatus,Sources
b6bc9e1d0b2fb96ab7c47e04cb0be477410bc1f2,sha1,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,84,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
caf2c54e400437da717cf215181b170f65187abf,sha1,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,84,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
135.181.127.216,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
151.240.151.8,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
151.243.113.21,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
193.41.68.196,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
2.27.5.165,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
31.76.31.28,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
31.77.228.46,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
65.21.18.60,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
