ioc,ioc_type,original_ioc,hunt_ioc,hunt_ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
11x.mlcrosoft.vip,domain,11x.mlcrosoft.vip,11x.mlcrosoft.vip,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Typosquat-like control domain disclosed by CNCERT.
18.mlcro.net,domain,18.mlcro.net,18.mlcro.net,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Control domain disclosed by CNCERT.
21.mlcro.net,domain,21.mlcro.net,21.mlcro.net,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Control domain disclosed by CNCERT.
23.mlcro.net,domain,23.mlcro.net,23.mlcro.net,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Control domain disclosed by CNCERT.
54.mlcro.net,domain,54.mlcro.net,54.mlcro.net,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Control domain disclosed by CNCERT.
c72.mlcrosoft.my,domain,c72.mlcrosoft.my,c72.mlcrosoft.my,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Typosquat-like control domain disclosed by CNCERT.
hollow-badger-moasfraum.life,domain,hollow-badger-moasfraum.life,hollow-badger-moasfraum.life,domain,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,Current fake verification domain documented in the report.
local82.mlcrosoft.my,domain,local82.mlcrosoft.my,local82.mlcrosoft.my,domain,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Typosquat-like control domain disclosed by CNCERT.
177.4.3.101,ipv4,177.4.3.101,177.4.3.101,ip,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Disclosed control asset with associated malicious domains on port 443.
177.4.3.35,ipv4,177.4.3.35,177.4.3.35,ip,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Disclosed control asset with associated malicious domains on port 443.
177.4.3.99,ipv4,177.4.3.99,177.4.3.99,ip,Silver Fox malware infrastructure,"Gh0st, Win0s, and DcRat",Silver Fox (Youshe),CNCERT,Silver Fox Trojan Special Campaign - Malicious Domains and IP Addresses (5),https://www.cert.org.cn/publish/main/12/2026/20260923205949874537730/20260923205949874537730_.html,2026-09-23T12:00:00Z,,,96,NEW,Top disclosed Silver Fox control asset; port 443 and high daily control volume reported.
45.131.215.56,ipv4,45.131.215.56,45.131.215.56,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,Loader and payload host.
457ed02b0a63ccf872e8459c91e2d1d6844a75414358849333f518cc538055b7,sha256,457ed02b0a63ccf872e8459c91e2d1d6844a75414358849333f518cc538055b7,457ed02b0a63ccf872e8459c91e2d1d6844a75414358849333f518cc538055b7,sha256,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,x86_64 payload hash.
5a2242b862ef52fe7a08af596198412a7676c948bcd64a25ce5d2e6d4b35c6fb,sha256,5a2242b862ef52fe7a08af596198412a7676c948bcd64a25ce5d2e6d4b35c6fb,5a2242b862ef52fe7a08af596198412a7676c948bcd64a25ce5d2e6d4b35c6fb,sha256,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,arm64 payload hash.
c6da028e0a8a25a35efa28ba508a556d1b53d1e61113c0aaebf31a49a5668912,sha256,c6da028e0a8a25a35efa28ba508a556d1b53d1e61113c0aaebf31a49a5668912,c6da028e0a8a25a35efa28ba508a556d1b53d1e61113c0aaebf31a49a5668912,sha256,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,Shell-script loader hash.
http://45.131.215.56/4e04813226b1b93?force=1,url,http://45.131.215.56/4e04813226b1b93?force=1,45.131.215.56,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,x86_64 payload URL.
http://45.131.215.56/8031e818c7a46?force=1,url,http://45.131.215.56/8031e818c7a46?force=1,45.131.215.56,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,Initial loader URL.
http://45.131.215.56/a7a11f95?force=1,url,http://45.131.215.56/a7a11f95?force=1,45.131.215.56,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,99,NEW,arm64 payload URL.
http://95.163.153.80:8133/api/credentials,url,http://95.163.153.80:8133/api/credentials,95.163.153.80,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,98,NEW,Credential exfiltration endpoint.
http://95.163.153.80:8133/api/shell/agent,url,http://95.163.153.80:8133/api/shell/agent,95.163.153.80,ip,Macfinger ClickFix campaign,Macfinger information stealer,Unknown Macfinger operator,SANS Internet Storm Center,A Closer Look at Malware From the Macfinger ClickFix Campaign,https://isc.sans.edu/diary.html?storyid=33368,2026-09-25T06:45:47Z,,,98,NEW,Command-channel endpoint.
